name,category,types,rating,review,city,lat,lng,review_count,review_avg_rating,user_ratings_total,interest_scores_json,interest_tags,interest_tag_count,interest_tags_json,intent_scores_json,intent_tags,intent_tag_count,intent_tags_json,clean_interest_tags,clean_interest_tag_count,clean_interest_tags_json,clean_intent_tags,clean_intent_tag_count,clean_intent_tags_json
Swarna Tours and Travels,tourist attraction,tourist_attraction | travel_agency | point_of_interest | establishment,5.0,,bengaluru,12.9966747,77.57028199999999,0,5.0,703,{},,0,[],{},,0,[],,0,[],,0,[]
Shri Ramanjaneya Swamy Devasthana,hindu temple,hindu_temple | tourist_attraction | place_of_worship | point_of_interest | establishment,4.7,,bengaluru,12.9353779,77.57165289999999,0,4.7,546,"{""culture"": 1.0}",culture,1,"[""culture""]","{""spiritual stop"": 0.67}",spiritual stop,1,"[""spiritual stop""]",culture,1,"[""culture""]",spiritual stop,1,"[""spiritual stop""]"
KRISHNA TOURS AND TRAVELS,travel agency,travel_agency | tourist_attraction | lodging | point_of_interest | establishment,4.8,,bengaluru,12.9163266,77.6101673,0,4.8,533,{},,0,[],{},,0,[],,0,[],,0,[]
Shri Manjunatha Swamy Temple,hindu temple,hindu_temple | tourist_attraction | place_of_worship | point_of_interest | establishment,4.7,,bengaluru,12.9969667,77.5546875,0,4.7,520,"{""culture"": 1.0}",culture,1,"[""culture""]","{""spiritual stop"": 0.67}",spiritual stop,1,"[""spiritual stop""]",culture,1,"[""culture""]",spiritual stop,1,"[""spiritual stop""]"
Shri Subramanya Swamy Temple,hindu temple,hindu_temple | tourist_attraction | place_of_worship | point_of_interest | establishment,4.6,,bengaluru,12.9968801,77.55893689999999,0,4.6,518,"{""culture"": 1.0}",culture,1,"[""culture""]","{""spiritual stop"": 0.67}",spiritual stop,1,"[""spiritual stop""]",culture,1,"[""culture""]",spiritual stop,1,"[""spiritual stop""]"
Shri Maramma Tayi Temple,hindu temple,hindu_temple | tourist_attraction | place_of_worship | point_of_interest | establishment,4.6,,bengaluru,12.9988972,77.5717777,0,4.6,480,"{""culture"": 1.0}",culture,1,"[""culture""]","{""spiritual stop"": 0.67}",spiritual stop,1,"[""spiritual stop""]",culture,1,"[""culture""]",spiritual stop,1,"[""spiritual stop""]"
"Kempegowda Tower, Bengaluru",tourist attraction,tourist_attraction | point_of_interest | establishment,4.3,,bengaluru,12.9677725,77.588976,0,4.3,420,{},,0,[],{},,0,[],,0,[],,0,[]
Kota Shri Venkataramana Swamy Temple Trust (R),hindu temple,hindu_temple | tourist_attraction | place_of_worship | point_of_interest | establishment,4.7,,bengaluru,12.9519928,77.5774023,0,4.7,413,"{""culture"": 1.0}",culture,1,"[""culture""]","{""spiritual stop"": 0.67}",spiritual stop,1,"[""spiritual stop""]",culture,1,"[""culture""]",spiritual stop,1,"[""spiritual stop""]"
Minsk Square,landmark,landmark | tourist_attraction | point_of_interest | establishment,4.4,,bengaluru,12.9815135,77.59677479999999,0,4.4,414,{},,0,[],{},,0,[],,0,[],,0,[]
"Kempegowda Tower, Bengaluru",tourist attraction,tourist_attraction | point_of_interest | establishment,4.4,,bengaluru,12.9486198,77.5894246,0,4.4,390,{},,0,[],{},,0,[],,0,[],,0,[]
Sri Kodandarama Devasthana {R.},hindu temple,hindu_temple | tourist_attraction | place_of_worship | point_of_interest | establishment,4.5,,bengaluru,12.9656973,77.5920325,0,4.5,372,"{""culture"": 1.0}",culture,1,"[""culture""]","{""spiritual stop"": 0.67}",spiritual stop,1,"[""spiritual stop""]",culture,1,"[""culture""]",spiritual stop,1,"[""spiritual stop""]"
Shri Nimishamba Devi Temple,hindu temple,hindu_temple | tourist_attraction | place_of_worship | point_of_interest | establishment,4.7,,bengaluru,12.97233,77.5726428,0,4.7,357,"{""culture"": 1.0}",culture,1,"[""culture""]","{""spiritual stop"": 0.67}",spiritual stop,1,"[""spiritual stop""]",culture,1,"[""culture""]",spiritual stop,1,"[""spiritual stop""]"
